"","year","group","product_id","product","group_id","import_val","export_val","trade_exchange_val","world_trade_val","rca","color","image"
"153",2014,"Chemical Products","062909","Ethers","06",240774976.6,240106.78,241015083.38,16131719643.3,"0","#e377c2","d3plus/icons/hs/hs_06.png"
"154",2014,"Chemical Products","062910","Epoxides","06",2803442.43,7917.23,2811359.66,5106516515.39,"0","#e377c2","d3plus/icons/hs/hs_06.png"
"155",2014,"Chemical Products","062911","Acetals and Hemiacetals","06",51937.41,NA,51937.41,86142804.63,NA,"#e377c2","d3plus/icons/hs/hs_06.png"
"156",2014,"Chemical Products","062912","Aldehydes","06",3823936,81225.88,3905161.88,2384463802.85,"0.01","#e377c2","d3plus/icons/hs/hs_06.png"
"157",2014,"Chemical Products","062913","Aldehyde Derivatives","06",3175,NA,3175,77077692.74,NA,"#e377c2","d3plus/icons/hs/hs_06.png"
"158",2014,"Chemical Products","062914","Ketones and Quinones","06",7943351.89,49956.66,7993308.55,7305516294.62,"0","#e377c2","d3plus/icons/hs/hs_06.png"
"159",2014,"Chemical Products","062915","Saturated Acyclic Monocarboxylic Acids","06",38486361.84,1021348.24,39507710.08,14404228706.4,"0.02","#e377c2","d3plus/icons/hs/hs_06.png"
"160",2014,"Chemical Products","062916","Unsaturated Acyclic Monocarboxylic Acids","06",34511203.76,1043870.18,35555073.94,11238033844.1,"0.02","#e377c2","d3plus/icons/hs/hs_06.png"
"161",2014,"Chemical Products","062917","Polycarboxylic Acids","06",16723935.18,27505163.46,44229098.64,16410636785.8,"0.38","#e377c2","d3plus/icons/hs/hs_06.png"
"162",2014,"Chemical Products","062918","Carboxylic Acids","06",37632122.38,23453257.28,61085379.66,7955662208.96,"0.67","#e377c2","d3plus/icons/hs/hs_06.png"
"163",2014,"Chemical Products","062919","Phosphoric Esters and Salts","06",1142557.99,NA,1142557.99,893449657.63,NA,"#e377c2","d3plus/icons/hs/hs_06.png"
"164",2014,"Chemical Products","062920","Other Esters","06",1490608.89,3171192.9,4661801.79,1618003550.09,"0.45","#e377c2","d3plus/icons/hs/hs_06.png"
"165",2014,"Chemical Products","062921","Amine Compounds","06",10127449.05,32569,10160018.05,10797116008.9,"0","#e377c2","d3plus/icons/hs/hs_06.png"
"166",2014,"Chemical Products","062922","Oxygen Amino Compounds","06",43305501.51,272603.14,43578104.65,19494857040.5,"0","#e377c2","d3plus/icons/hs/hs_06.png"
"167",2014,"Chemical Products","062923","Quaternary Ammonium Salts and Hydroxides","06",19053717.62,198726.81,19252444.43,2222469351,"0.02","#e377c2","d3plus/icons/hs/hs_06.png"
"168",2014,"Chemical Products","062924","Carboxyamide Compounds","06",13449809.15,354399.32,13804208.47,8092031195.99,"0.01","#e377c2","d3plus/icons/hs/hs_06.png"
"169",2014,"Chemical Products","062925","Carboxyimide Compounds","06",3936226.65,119031,4055257.65,1314030544.06,"0.02","#e377c2","d3plus/icons/hs/hs_06.png"
"170",2014,"Chemical Products","062926","Nitrile Compounds","06",2631131.31,180143,2811274.31,6391816272.6,"0.01","#e377c2","d3plus/icons/hs/hs_06.png"
"171",2014,"Chemical Products","062927","Diazo, Azo or Aoxy Compounds","06",442907.6,20742.52,463650.12,554630825.88,"0.01","#e377c2","d3plus/icons/hs/hs_06.png"
"172",2014,"Chemical Products","062928","Hydrazine or Hydroxylamine Derivatives","06",801699.84,34626,836325.84,1535891760.14,"0.01","#e377c2","d3plus/icons/hs/hs_06.png"
"173",2014,"Chemical Products","062929","Other Nitrogen Compounds","06",31006163.62,816965.26,31823128.88,5874305761.76,"0.03","#e377c2","d3plus/icons/hs/hs_06.png"
